2026-01-25 20:43:33 [main] INFO  Utils - [TestNG] Running:
  C:\Automation\SeleniumFremwork\testng.xml

2026-01-25 20:43:35 [TestNG-tests-1] INFO  Log - Staring Script
2026-01-25 20:43:43 [TestNG-tests-1] INFO  Log - Launching URL...
2026-01-25 20:43:45 [TestNG-tests-1] INFO  Log - Closing Window...
2026-01-25 20:43:46 [TestNG-tests-1] INFO  Log - Staring Script
2026-01-25 20:43:53 [TestNG-tests-1] INFO  Log - Launching URL...
2026-01-25 20:43:55 [TestNG-tests-1] INFO  Log - Closing Window...
2026-01-25 20:43:55 [TestNG-tests-1] INFO  Log - Staring Script
2026-01-25 20:44:02 [TestNG-tests-1] INFO  Log - Launching URL...
2026-01-25 20:44:08 [TestNG-tests-1] INFO  Log - Closing Window...
2026-01-25 20:44:08 [TestNG-tests-1] INFO  Log - Staring Script
2026-01-25 20:44:15 [TestNG-tests-1] INFO  Log - Launching URL...
2026-01-25 20:44:17 [TestNG-tests-1] INFO  Log - Closing Window...
